comuna,ancho_acera_mean,ancho_acera_median,ancho_acera_std,ancho_acera_p25,ancho_acera_p75,diametro_altura_pecho_mean,diametro_altura_pecho_median,diametro_altura_pecho_std,diametro_altura_pecho_p25,diametro_altura_pecho_p75,altura_arbol_mean,altura_arbol_median,altura_arbol_std,altura_arbol_p25,altura_arbol_p75,count_trees,cluster_comuna
1.0,3.5581611340432473,3.2,1.2370854991176,2.7,4.0,26.51157280845635,23.0,19.60060525704447,13.0,34.0,8.622106797885912,8.0,4.947697619809314,5.0,11.0,10974,4
2.0,3.1406246686626518,3.0,0.7246487840314608,2.6,3.2,25.630964691978136,22.0,17.699204571523058,13.0,34.0,10.184369921701876,10.0,5.66468345481719,6.0,13.0,6769,5
3.0,2.93951460111172,2.8,0.6207222028622218,2.5,3.2,26.555546856650746,24.0,16.007421351561664,16.0,34.0,9.387927659907618,9.0,4.4837705253977,6.0,12.0,12773,5
4.0,3.4078898266380446,3.2,0.9464920207508469,2.8,4.0,32.794620857192434,30.0,19.10926937285181,20.0,43.0,8.952316501821969,9.0,4.056228667977675,6.0,11.0,28815,0
5.0,3.2429116853065945,3.2,0.7493973400888746,2.8,3.2,31.47204010798303,29.0,19.2748657597664,18.0,42.0,9.945005784805245,9.0,5.301084380842994,6.0,12.0,12965,0
6.0,3.3917221817505094,3.2,0.7508095411910336,3.0,3.6,30.983100764322277,28.0,19.146085123227543,18.0,40.0,10.167730173199635,10.0,5.356811274298416,6.0,13.0,14261,0
7.0,3.494675339373942,3.2,0.9461802548239058,2.8,4.4,29.020737044459896,26.0,19.387338250021507,15.0,39.0,8.060493271708454,8.0,4.337873183034734,5.0,10.0,24449,4
8.0,4.043266419635951,4.4,0.9273455824590512,3.3,4.4,30.406525526635342,28.0,17.586070963843763,18.0,40.0,7.009714376220897,7.0,3.3916803963556084,4.0,9.0,18941,1
9.0,4.017578740720508,4.4,0.9479273463742146,3.2,4.4,32.14517920832603,29.0,19.36554781156847,18.0,42.0,7.378062328246506,7.0,3.56335069100517,5.0,9.0,34206,1
10.0,3.781130262810303,4.4,0.9706572236814454,3.0,4.4,32.44054789197591,29.0,20.504102748571334,18.0,44.0,8.016611618418496,8.0,4.039186946897488,5.0,10.0,30882,1
11.0,3.9283481493826744,4.4,0.8741453168067609,3.2,4.4,34.67202801353196,31.0,22.116759698212878,18.0,48.0,9.041456466259126,9.0,4.7065568896157846,6.0,12.0,33698,2
12.0,3.889558835271736,4.4,0.9855761185458787,3.2,4.4,34.04960097539348,31.0,21.528956640169493,18.0,46.0,9.130819108845046,9.0,4.581820976926453,6.0,12.0,36088,2
13.0,3.6345173582923946,3.3,0.8493438625132541,3.0,4.4,34.891723591349965,31.0,21.4933637970113,20.0,46.0,10.643808733064121,10.0,5.25869229099424,7.0,13.0,26497,2
14.0,3.481197442742549,3.2,0.7339813258365246,3.2,3.5,37.051502786624205,33.0,23.012875107911036,20.0,52.0,12.017217356687897,11.0,6.521951917933391,7.0,16.0,20096,3
15.0,3.830866423598023,3.6,0.8847229873433403,3.2,4.4,37.45336671399746,33.0,22.82053162973637,20.0,52.0,9.805320977505419,9.0,5.086273080163875,6.0,12.0,26762,2
