,Acer negundo,Ficus benjamina,Fraxinus americana,Fraxinus excelsior,Fraxinus pennsylvanica,Jacaranda mimosifolia,Lagerstroemia indica,Ligustrum lucidum,Ligustrum lucidum f. aureovariegata,Liquidambar styraciflua,Melia azedarach,Otra,Persea americana,Platanus x acerifolia,Robinia pseudoacacia,Styphnolobium japonicum,Syagrus romanzoffiana,Tilia cordata,Tilia x moltkei,Tipuana tipu
Acer negundo,1.0,6.258208380984468e-233,5.648052816821584e-23,3.4530691588779614e-07,1.2086602814320705e-39,4.8462571316346957e-60,0.0,0.0,0.0,7.612715324204887e-91,1.3521785227583885e-137,0.0,7.427245490989958e-82,0.0,5.968850933360254e-59,0.009724380781103142,3.064153944128074e-50,0.017233176147746627,1.9197022532807874e-05,0.0
Ficus benjamina,6.258208380984468e-233,1.0,0.0,0.0,0.0,9.572766489933389e-98,0.0,1.478937078293902e-74,3.7423118925894096e-153,1.9684030342653455e-12,0.0,9.38489615711282e-50,1.0,0.0,0.041355230424418,1.1059189040799857e-76,5.2858996512820184e-17,1.0457760398096706e-77,0.0,0.0
Fraxinus americana,5.648052816821584e-23,0.0,1.0,3.504162607983035e-06,0.5649029872168693,1.780164759439841e-249,0.0,0.0,0.0,3.552139168164996e-254,1.0385630221239872e-70,0.0,1.3369823031975952e-169,0.0,7.454980937928315e-133,1.356622543142348e-26,1.671085071671666e-141,1.7762668079934126e-25,1.435560462933555e-85,0.0
Fraxinus excelsior,3.4530691588779614e-07,0.0,3.504162607983035e-06,1.0,2.5063073097362546e-15,1.005339510908583e-156,0.0,0.0,0.0,8.056213208173558e-180,1.0387628922888617e-112,0.0,9.792720985844454e-131,0.0,2.7559288957333633e-99,4.260677817142776e-13,8.204973516485226e-99,2.039055822686717e-12,5.016580327133972e-38,0.0
Fraxinus pennsylvanica,1.2086602814320705e-39,0.0,0.5649029872168693,2.5063073097362546e-15,1.0,0.0,0.0,0.0,0.0,0.0,1.4835596389634125e-134,0.0,8.19814102533983e-209,0.0,3.615856056237019e-164,8.670496168468749e-36,1.1699745941333568e-193,2.668832540811392e-34,6.409455663216186e-220,0.0
Jacaranda mimosifolia,4.8462571316346957e-60,9.572766489933389e-98,1.780164759439841e-249,1.005339510908583e-156,0.0,1.0,0.0,2.8439450310628534e-250,0.0,6.465655793055241e-13,0.0,6.762029298467721e-281,6.000144124296634e-22,0.0,2.0458198207535005e-10,1.2061012551921492e-14,0.007255758307836961,3.2485874150370767e-15,4.366386375317238e-59,0.0
Lagerstroemia indica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.009264728987293e-161,3.0020725662988877e-75,0.0,0.0,0.0,8.576073017707811e-132,0.0,1.2259490455921108e-165,0.0,0.0,0.0,0.0,0.0
Ligustrum lucidum,0.0,1.478937078293902e-74,0.0,0.0,0.0,2.8439450310628534e-250,3.009264728987293e-161,1.0,3.314183268159572e-12,4.131957381646268e-88,0.0,5.899210306358446e-19,2.2618030334921493e-17,0.0,6.681404695042637e-31,3.7786946013084785e-162,4.072476351633525e-81,3.171024861957986e-163,0.0,0.0
Ligustrum lucidum f. aureovariegata,0.0,3.7423118925894096e-153,0.0,0.0,0.0,0.0,3.0020725662988877e-75,3.314183268159572e-12,1.0,2.4157059714389495e-149,0.0,1.3345581221290285e-72,1.9175272847262068e-38,0.0,2.334277149631149e-57,2.0538361145306258e-218,4.983532677682547e-130,1.9193793200242528e-219,0.0,0.0
Liquidambar styraciflua,7.612715324204887e-91,1.9684030342653455e-12,3.552139168164996e-254,8.056213208173558e-180,0.0,6.465655793055241e-13,0.0,4.131957381646268e-88,2.4157059714389495e-149,1.0,0.0,4.962166150769622e-60,6.128788833431394e-05,0.0,0.5593118536113079,6.769659472719148e-33,0.12111536849585766,1.2004872198822204e-33,7.3817038488005075e-90,0.0
