,Acer negundo,Ficus benjamina,Fraxinus americana,Fraxinus excelsior,Fraxinus pennsylvanica,Jacaranda mimosifolia,Lagerstroemia indica,Ligustrum lucidum,Ligustrum lucidum f. aureovariegata,Liquidambar styraciflua,Melia azedarach,Otra,Persea americana,Platanus x acerifolia,Robinia pseudoacacia,Styphnolobium japonicum,Syagrus romanzoffiana,Tilia cordata,Tilia x moltkei,Tipuana tipu
Acer negundo,1.0,1.759303059050897e-29,2.1994427730756357e-41,2.990056339150412e-67,6.873124190300737e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.823105367561753e-278,0.0,8.422030089290645e-56,2.2397772167815434e-10,3.005205676935911e-165,8.940833664575224e-106,3.3350668410718313e-211,6.248771350544984e-207
Ficus benjamina,1.759303059050897e-29,1.0,4.4065859591185096e-05,3.5071774133305974e-23,6.074374083912824e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.340469421959954e-232,0.0,5.787643188491138e-24,5.900755369206134e-54,1.3802048390745088e-118,5.754920070005916e-64,1.6740263929775966e-206,0.0
Fraxinus americana,2.1994427730756357e-41,4.4065859591185096e-05,1.0,7.527008729053196e-06,0.15755723303378283,1.396425415867078e-248,0.0,6.868598064651749e-190,0.0,0.0,0.0,0.0,4.410537772918695e-182,0.0,2.633671904127208e-13,2.2519706026021873e-65,1.3864645984963516e-78,1.9889937369277343e-42,1.354145062453338e-94,0.0
Fraxinus excelsior,2.990056339150412e-67,3.5071774133305974e-23,7.527008729053196e-06,1.0,6.753909885323507e-17,7.685370278975268e-158,0.0,3.785126500165246e-120,0.0,0.0,0.0,0.0,1.847729051179512e-142,0.0,4.4065859591185096e-05,2.672781369721517e-88,2.4712753094683724e-49,6.202749820291871e-25,8.0415941096521e-45,0.0
Fraxinus pennsylvanica,6.873124190300737e-49,6.074374083912824e-05,0.15755723303378283,6.753909885323507e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.043396315758038e-228,0.0,2.4917266256060356e-19,1.293112963708663e-69,2.2819076003733224e-113,9.448552175345527e-58,4.6198129502220833e-253,0.0
Jacaranda mimosifolia,0.0,0.0,1.396425415867078e-248,7.685370278975268e-158,0.0,1.0,0.0,0.20420358049069243,5.78655417372714e-136,1.2535593775264433e-86,0.0,3.4685021413313005e-15,7.625080863000239e-27,0.0,3.645089542208218e-24,2.4199322411452186e-297,0.01206716890776596,7.603052533852287e-06,4.226777034129395e-51,0.0
Lagerstroemia indica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.115480925615773e-143,7.544196130941155e-134,0.0,0.0,7.895462362452438e-75,0.0,0.0,0.0,0.0,1.2657056134367801e-278,0.0,0.0
Ligustrum lucidum,0.0,0.0,6.868598064651749e-190,3.785126500165246e-120,0.0,0.20420358049069243,0.0,1.0,1.9182885846980135e-129,3.2895503595547704e-86,0.0,2.491969135076156e-17,3.145661314417144e-29,0.0,1.6811354256063097e-19,1.06789198689583e-266,0.17578813914420766,0.0005512028821331454,1.0884970233394906e-32,0.0
Ligustrum lucidum f. aureovariegata,0.0,0.0,0.0,0.0,0.0,5.78655417372714e-136,6.115480925615773e-143,1.9182885846980135e-129,1.0,0.20420358049069243,0.0,5.431905575464451e-110,0.008196814070629863,0.0,1.8211896415375837e-125,0.0,7.0852905343854275e-87,5.857247493282878e-82,0.0,0.0
Liquidambar styraciflua,0.0,0.0,0.0,0.0,0.0,1.2535593775264433e-86,7.544196130941155e-134,3.2895503595547704e-86,0.20420358049069243,1.0,0.0,1.063367327304298e-60,0.20420358049069243,0.0,7.073027892589864e-103,0.0,6.294443174044519e-65,1.9393794530794187e-64,1.8859560494243875e-223,0.0
