comuna,sum,count,prop_cluster1
14.0,7505,20096,0.3734574044585987
15.0,7842,26762,0.2930274269486585
13.0,7502,26497,0.28312639166698117
11.0,8374,33698,0.2485013947415277
12.0,8476,36088,0.23487031700288186
6.0,3329,14261,0.23343384054414137
5.0,2862,12965,0.22074816814500578
4.0,5600,28815,0.19434322401526982
2.0,1287,6769,0.19013148175505984
10.0,5458,30882,0.17673725794961467
7.0,3680,24449,0.15051740357478832
9.0,5117,34206,0.1495936385429457
1.0,1598,10974,0.14561691270275195
3.0,1670,12773,0.13074453926250684
8.0,2167,18941,0.11440789821023177
